dataset,filename,total_frames,frames_with_2plus_nans,percentage_2plus_nans,recording_duration_sec,time_with_2plus_nans_sec,time_with_2plus_nans_min,frame_rate
dataset_1,DGRP375_CamA_2026-01-12T08_31_36_trajectories.csv,432000,40080,9.277777777777779,7199.983,667.9999690740026,11.133332817900044,60.00000277778433
dataset_1,DGRP375_CamA_2026-01-12T15_31_08_trajectories.csv,432000,68821,15.930787037037037,7199.983,1147.0166135639204,19.116943559398674,60.00000277778433
dataset_1,DGRP375_CamA_2026-01-13T11_17_26_trajectories.csv,432000,63590,14.719907407407407,7199.983,1059.8332842668617,17.66388807111436,60.00000277778433
dataset_1,DGRP375_CamA_2026-01-15T10_52_24_trajectories.csv,432000,3,0.0006944444444444445,7199.983,0.049999997685179834,0.0008333332947529972,60.00000277778433
dataset_1,DGRP375_CamA_2026-01-15T16_01_15_trajectories.csv,432000,58684,13.58425925925926,7199.983,978.0666213856978,16.301110356428296,60.00000277778433
dataset_1,DGRP375_CamB_2026-01-12T08_31_36_trajectories.csv,432000,71322,16.509722222222223,7199.983,1188.6999449674654,19.811665749457756,60.00000277778433
dataset_1,DGRP375_CamB_2026-01-12T15_31_08_trajectories.csv,432000,8580,1.9861111111111112,7199.983,142.99999337961432,2.383333222993572,60.00000277778433
dataset_1,DGRP375_CamB_2026-01-15T10_52_24_trajectories.csv,432000,1,0.0002314814814814815,7199.983,0.016666665895059943,0.0002777777649176657,60.00000277778433
dataset_1,DGRP375_CamB_2026-01-15T16_01_15_trajectories.csv,432000,77110,17.849537037037035,7199.983,1285.1666071680722,21.419443452801204,60.00000277778433
dataset_1,DGRP774_CamA_2026-01-12T10_46_09_trajectories.csv,432000,16672,3.8592592592592596,7199.983,277.8666538024394,4.631110896707323,60.00000277778433
dataset_1,DGRP774_CamA_2026-01-13T08_12_08_trajectories.csv,432000,29062,6.727314814814815,7199.983,484.3666442422321,8.072777404037202,60.00000277778433
dataset_1,DGRP774_CamA_2026-01-15T08_25_18_trajectories.csv,432000,18609,4.307638888888889,7199.983,310.1499856411705,5.169166427352841,60.00000277778433
dataset_1,DGRP774_CamB_2026-01-12T10_46_09_trajectories.csv,432000,21778,5.041203703703704,7199.983,362.96664986261544,6.049444164376924,60.00000277778433
dataset_1,DGRP774_CamB_2026-01-13T08_12_08_trajectories.csv,432000,29995,6.943287037037036,7199.983,499.916643522323,8.331944058705384,60.00000277778433
dataset_1,DGRP774_CamB_2026-01-15T08_25_18_trajectories.csv,432000,12673,2.933564814814815,7199.983,211.21665688809466,3.5202776148015777,60.00000277778433
dataset_1,DGRP859_CamA_2026-01-12T13_04_58_trajectories.csv,432000,0,0.0,7199.983,0.0,0.0,60.00000277778433
dataset_1,DGRP859_CamA_2026-01-15T13_40_51_trajectories.csv,432000,78,0.018055555555555554,7199.983,1.2999999398146755,0.021666665663577927,60.00000277778433
dataset_1,DGRP859_CamB_2026-01-12T13_04_58_trajectories.csv,432000,55779,12.911805555555556,7199.983,929.6499569605486,15.494165949342477,60.00000277778433
dataset_1,DGRP859_CamB_2026-01-13T11_17_26_trajectories.csv,432000,26363,6.102546296296296,7199.983,439.3833129914653,7.323055216524422,60.00000277778433
dataset_1,DGRP859_CamB_2026-01-15T13_40_51_trajectories.csv,432000,1091,0.25254629629629627,7199.983,18.1833324915104,0.30305554152517333,60.00000277778433
dataset_2,DGRP375_CamA_2026-01-27T09_40_53_Setup2_trajectories.csv,360000,160530,44.59166666666667,7199.98,3210.6,53.51,50.0
dataset_2,DGRP375_CamB_2026-01-27T09_40_14_Setup1_trajectories.csv,360000,109008,30.28,7199.98,2180.16,36.336,50.0
dataset_2,DGRP375_CamB_2026-01-27T12_14_34_Setup1_trajectories.csv,360000,108891,30.2475,7199.98,2177.82,36.297000000000004,50.0
dataset_2,DGRP774_CamB_2026-01-27T12_22_15_Setup2_trajectories.csv,360000,64764,17.990000000000002,7199.98,1295.28,21.588,50.0
